FEATURE_NAME,Count,Miss %,Card.,Min,1st Qrt.,Mean,Median,3rd Qrt,Max,Std. Dev.
open_days_per_week,593832,45.187959722982434,7,1.0,6.0,6.33,7.0,7.0,7.0,0.97
latitude,1067607,1.4574528081580436,857920,27.640309999999996,41.909859999999995,46.57,46.5851,51.4053675,69.94156,5.88
longitude,1067607,1.4574528081580436,969586,-71.218094,-0.8027315,5.84,5.64653,12.2376745,33.369423,8.64
open_hours_per_week,593832,45.187959722982434,3090,0.0,39.0,62.02,58.5,81.5,168.0,30.54
working_shifts_per_week,593832,45.187959722982434,15,1.0,6.0,7.63,7.0,7.0,15.0,2.55
avg_rating,986761,8.919721948648556,9,1.0,3.5,4.04,4.0,4.5,5.0,0.71
total_reviews_count,1031162,4.821408957196669,3363,0.0,6.0,102.89,24.0,93.0,52404.0,267.24
reviews_count_in_default_language,988204,8.786529776250072,2415,1.0,2.0,44.56,7.0,26.0,15229.0,148.73
excellent,988204,8.786529776250072,1708,0.0,1.0,24.65,3.0,13.0,9383.0,89.85
very_good,988204,8.786529776250072,832,0.0,0.0,10.49,2.0,6.0,4091.0,35.51
average,988204,8.786529776250072,458,0.0,0.0,4.11,1.0,2.0,2132.0,15.67
poor,988204,8.786529776250072,305,0.0,0.0,2.36,0.0,1.0,1253.0,9.35
terrible,988204,8.786529776250072,353,0.0,0.0,2.95,0.0,2.0,1215.0,11.03
food,599325,44.680943366097566,9,1.0,4.0,4.1,4.0,4.5,5.0,0.56
service,604287,44.2229395134009,9,1.0,4.0,4.07,4.0,4.5,5.0,0.58
value,602692,44.3701616305011,9,1.0,3.5,3.98,4.0,4.5,5.0,0.58
atmosphere,261785,75.83665083067426,9,1.0,3.5,3.93,4.0,4.5,5.0,0.56
